rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
151,"spotify:track:4ssHL7bSnOAE7HjiuLx6Co","Matuê","Crack com Mussilon","30PRAUM",1,162,45,"1284685"
152,"spotify:track:1Ep0VtPi8wo6Dv4eJEryfP","Hugo & Guilherme","Foi Mal Deus - Ao Vivo","Som Livre",152,-1,1,"1281996"
153,"spotify:track:6UzGpz33nYXa3gAEJ1mndV","Hugo & Guilherme, Maiara & Maraisa","O Meu Coração Em Suas Mãos (Colgando en tu manos) - Ao Vivo","Som Livre",10,139,50,"1281854"
154,"spotify:track:3p58wJmZqIc9RjsdeZ5Jfq","Mc Negão Original, MC Jvila, MC Willian, DJ Japa NK, MC Meno K, DJ Guh Mix","Vou pela Madrugada","Cria Hit BR",154,-1,1,"1280663"
155,"spotify:track:5cfsQZEFf1IpQr8F9vI9le","Justin Bieber","BUTTERFLIES","ILH Production Co. LLC / Def Jam Recordings",155,-1,1,"1274776"
156,"spotify:track:5oI9blwsXC8AkTWw6wASY8","Matuê","Máquina do Tempo","Sony Music Entertainment",2,159,95,"1271494"
157,"spotify:track:0BUkQGUXgcvf3gdCWYbtnJ","Oruam, Zé Felipe, MC Tuto, Dj Lc da Roça, Mc Rodrigo do CN, MC K9, mc pl alves","Oh Garota Eu Quero Você Só Pra Mim.","Mainstreet Records",1,123,30,"1271455"
158,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",133,155,56,"1270087"
159,"spotify:track:1MparvKC8QIDwu06iO3qVr","Henrique & Juliano","Volta Por Baixo - Ao Vivo","Virgin Music Label And Artist Services (S&D)",3,148,101,"1266879"
160,"spotify:track:6ATNNv8tZF61fa7VwDH89j","Alexsander Lucio","O Fogo Arderá - Ao Vivo","ID1736 - Céu Music",145,157,6,"1259073"
161,"spotify:track:3WxetTBTlpfyknxJfPQ7eQ","MC Cebezinho, Dj Yuri Pedrada, Love Funk","Observando Essa Salada","Love Funk",8,144,25,"1258316"
162,"spotify:track:1xOqGUkyxGQRdCvGpvWKmL","KATSEYE","Gabriela","HYBE/Geffen",100,167,4,"1258311"
163,"spotify:track:4eqOz5gdCYww9GB5q3q1pU","DJ Douglinhas, DJ Miller Oficial, MC Torugo","Puta É Só um Detalhe","DJ DOUGLINHAS",13,163,29,"1252041"
164,"spotify:track:5rpw3BgEGRVFB8CvCJdeuT","Veigh, Supernova Ent","Ausência","Supernova Entertainment",43,88,3,"1250281"
165,"spotify:track:096gZM7wp5GKHBwtWY3d0z","Link do Zap, pluglip","a última dança","Link do Zap",29,128,21,"1249339"
166,"spotify:track:4sTlQPMyoFMPdhAJvErBN3","ATLXS","PASSO BEM SOLTO - Slowed","broke",61,137,16,"1244671"
167,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",7,145,52,"1243650"
